therapy_id,therapy_name,description,primary_action_on_dosha,dominant_gunas (Qualities),karma_type (Action),key_indications,typical_duration_mins,pre_procedure_template (For Patient Notifications),post_procedure_template (For Patient Notifications)
1,Vamana (Therapeutic Emesis),Therapeutic Panchakarma procedure | Medically induced vomiting to eliminate excess Kapha dosha and toxins from the upper body and respiratory tract. Ayurvedic detoxification for Kapha disorders.,Pacifies Kapha and secondarily Pitta.,"Ushna (Hot), Tikshna (Sharp)",Shodhana (Cleansing),"Chronic asthma, psoriasis, chronic cough & cold, indigestion, obesity.",180,"Your Vamana therapy is scheduled. The day before, please consume a Kapha-aggravating diet like yogurt, milk, and rice as advised. Get a good night's sleep.","Post-Vamana, rest completely. Follow the Samsarjana Krama (special diet) starting with light rice water. Avoid loud talking, daytime sleep, and exposure to cold."
2,Virechana (Therapeutic Purgation),"Therapeutic Panchakarma procedure | Medicated purgation to eliminate excess Pitta dosha from the liver, gallbladder, and intestines. Ayurvedic detoxification for Pitta disorders.",Pacifies Pitta and secondarily Kapha.,"Ushna (Hot), Sara (Flowing)",Shodhana (Cleansing),"Skin diseases, liver disorders, hyperacidity, gout, chronic fever.",180,"Your Virechana is approaching. You must have completed your Snehapana (medicated ghee) course. The day before, eat only a light, warm, liquid meal like khichdi.","Post-Virechana, your digestion is very delicate. Strictly follow the dietary plan starting with rice gruel. Drink only warm water. Avoid all heavy, spicy, and raw foods."
3,Anuvasana Basti (Oil Enema),Therapeutic Panchakarma procedure | Administration of medicated oils or ghee through the rectal route to nourish and pacify Vata dosha. Ayurvedic enema therapy for Vata disorders.,Pacifies Vata.,"Snigdha (Oily), Ushna (Hot)",Brumhana (Nourishing) / Shamana (Palliative),"Dryness, constipation, joint pain, arthritis, neurological disorders.",45,"For your Anuvasana Basti, please have a light meal at least 2 hours before your appointment. Ensure your bowels are clear. Come in a relaxed state of mind.","After your Basti, rest for at least one hour. Avoid strenuous activities for the rest of the day. You may eat a light, warm meal like rice and dal when you feel hungry."
4,Niruha Basti (Decoction Enema),Therapeutic Panchakarma procedure | Administration of a herbal decoction mixture through the rectal route to cleanse toxins and pacify Vata dosha. Ayurvedic cleansing enema therapy.,Primarily pacifies Vata. Also cleanses Malas (wastes).,"Laghu (Light), Ruksha (Dry)",Shodhana (Cleansing),"Chronic constipation, bloating, sciatica, arthritis, neurological Vata disorders.",60,"For your Niruha Basti, it is crucial to come on an empty stomach. Do not eat for at least 3-4 hours before your therapy time. Drink some warm water if needed.","After the Basti is expelled, rest well. You will be given a specific light meal at the clinic. Avoid travel and heavy work for the rest of the day."
5,Nasya (Nasal Medication),Therapeutic Panchakarma procedure | Administration of medicated oils or powders through the nasal passage to cleanse and nourish the head and neck region. Ayurvedic nasal therapy.,Pacifies all three doshas in the head region.,Varies based on oil used.,Shodhana / Brumhana,"Sinusitis, migraines, hair fall, memory issues, cervical spondylosis.",30,"Before your Nasya therapy, avoid heavy meals. A light steam will be given to your face, so please come with a clean face, free of makeup.","After Nasya, avoid immediate exposure to sun, dust, smoke, or cold wind for at least 30 minutes. Do not take a head bath for a few hours. Keep your head covered if it's cold outside."
6,Abhyanga & Swedana,"Ayurvedic rejuvenation therapy | A full-body synchronized massage with warm medicated oil, followed by a herbal steam bath. Improves circulation and pacifies Vata.",Pacifies Vata.,"Snigdha (Oily), Guru (Heavy)",Purvakarma (Preparatory),"General rejuvenation, muscle stiffness, stress, insomnia, improving circulation.",75,"Please arrive for your massage therapy well-hydrated. Have a very light snack, if needed, at least 90 minutes prior. Avoid coming on a full stomach.","After your steam, rest for 15-20 minutes and rehydrate. It is recommended to take a warm shower after about one hour. Eat a light and warm meal afterwards."
7,Vamana (Therapeutic Emesis),Therapeutic Panchakarma procedure | Medically induced vomiting to eliminate excess Kapha dosha and toxins from the upper body and respiratory tract. Ayurvedic detoxification for Kapha disorders.,Pacifies Kapha and secondarily Pitta.,"Ushna (Hot), Tikshna (Sharp)",Shodhana (Cleansing),"Chronic asthma, psoriasis, chronic cough & cold, indigestion, obesity.",180,"Your Vamana therapy is scheduled. The day before, please consume a Kapha-aggravating diet like yogurt, milk, and rice as advised. Get a good night's sleep.","Post-Vamana, rest completely. Follow the Samsarjana Krama (special diet) starting with light rice water. Avoid loud talking, daytime sleep, and exposure to cold."
8,Virechana (Therapeutic Purgation),"Therapeutic Panchakarma procedure | Medicated purgation to eliminate excess Pitta dosha from the liver, gallbladder, and intestines. Ayurvedic detoxification for Pitta disorders.",Pacifies Pitta and secondarily Kapha.,"Ushna (Hot), Sara (Flowing)",Shodhana (Cleansing),"Skin diseases, liver disorders, hyperacidity, gout, chronic fever.",180,"Your Virechana is approaching. You must have completed your Snehapana (medicated ghee) course. The day before, eat only a light, warm, liquid meal like khichdi.","Post-Virechana, your digestion is very delicate. Strictly follow the dietary plan starting with rice gruel. Drink only warm water. Avoid all heavy, spicy, and raw foods."
9,Anuvasana Basti (Oil Enema),Therapeutic Panchakarma procedure | Administration of medicated oils or ghee through the rectal route to nourish and pacify Vata dosha. Ayurvedic enema therapy for Vata disorders.,Pacifies Vata.,"Snigdha (Oily), Ushna (Hot)",Brumhana (Nourishing) / Shamana (Palliative),"Dryness, constipation, joint pain, arthritis, neurological disorders.",45,"For your Anuvasana Basti, please have a light meal at least 2 hours before your appointment. Ensure your bowels are clear. Come in a relaxed state of mind.","After your Basti, rest for at least one hour. Avoid strenuous activities for the rest of the day. You may eat a light, warm meal like rice and dal when you feel hungry."
10,Niruha Basti (Decoction Enema),Therapeutic Panchakarma procedure | Administration of a herbal decoction mixture through the rectal route to cleanse toxins and pacify Vata dosha. Ayurvedic cleansing enema therapy.,Primarily pacifies Vata. Also cleanses Malas (wastes).,"Laghu (Light), Ruksha (Dry)",Shodhana (Cleansing),"Chronic constipation, bloating, sciatica, arthritis, neurological Vata disorders.",60,"For your Niruha Basti, it is crucial to come on an empty stomach. Do not eat for at least 3-4 hours before your therapy time. Drink some warm water if needed.","After the Basti is expelled, rest well. You will be given a specific light meal at the clinic. Avoid travel and heavy work for the rest of the day."
